round,comm_costs
1,26580
2,26580
3,26580
4,26580
5,26580
6,26580
7,26580
8,26580
9,26580
10,26580
11,26580
12,26580
13,26580
14,26580
15,26580
16,26580
17,26580
18,26580
19,26580
20,26580
21,26580
22,26580
23,26580
24,26580
25,39870
