round,comm_costs
1,71080
2,71080
3,71080
4,71080
5,71080
6,71080
7,71080
8,71080
9,71080
10,71080
11,71080
12,71080
13,71080
14,71080
15,71080
16,71080
17,71080
18,71080
19,71080
20,71080
21,71080
22,71080
23,71080
24,71080
25,106620
