round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86071,0.68947,0.50174,0.46662,0.86071,0.86071,0.86071
2,0.86351,0.72314,0.53348,0.53009,0.86351,0.86351,0.86351
3,0.86345,0.71595,0.53979,0.54124,0.86345,0.86345,0.86345
4,0.86442,0.72328,0.54551,0.55071,0.86442,0.86442,0.86442
5,0.86447,0.72314,0.54649,0.55232,0.86447,0.86447,0.86447
6,0.86434,0.72298,0.54475,0.54946,0.86434,0.86434,0.86434
7,0.86449,0.72312,0.5468,0.55282,0.86449,0.86449,0.86449
8,0.86438,0.71846,0.55159,0.56053,0.86438,0.86438,0.86438
9,0.86436,0.71911,0.55022,0.55835,0.86436,0.86436,0.86436
10,0.86446,0.72011,0.55028,0.55844,0.86446,0.86446,0.86446
11,0.8643,0.7175,0.5519,0.56102,0.8643,0.8643,0.8643
12,0.86434,0.71703,0.55347,0.56346,0.86434,0.86434,0.86434
13,0.86424,0.71648,0.5527,0.56227,0.86424,0.86424,0.86424
14,0.86438,0.71795,0.55248,0.56193,0.86438,0.86438,0.86438
15,0.86434,0.71722,0.55311,0.56291,0.86434,0.86434,0.86434
16,0.86434,0.71693,0.55365,0.56374,0.86434,0.86434,0.86434
17,0.86449,0.71911,0.55249,0.56194,0.86449,0.86449,0.86449
18,0.86459,0.72051,0.55184,0.56091,0.86459,0.86459,0.86459
19,0.86451,0.71955,0.55209,0.5613,0.86451,0.86451,0.86451
20,0.86463,0.7184,0.55613,0.56755,0.86463,0.86463,0.86463
21,0.86455,0.71881,0.55401,0.5643,0.86455,0.86455,0.86455
22,0.86475,0.71982,0.55555,0.56666,0.86475,0.86475,0.86475
23,0.86483,0.72205,0.55316,0.56297,0.86483,0.86483,0.86483
24,0.86463,0.71921,0.55465,0.56528,0.86463,0.86463,0.86463
25,0.86467,0.71904,0.55562,0.56677,0.86467,0.86467,0.86467
