round,comm_costs
1,93180
2,93180
3,93180
4,93180
5,93180
6,93180
7,93180
8,93180
9,93180
10,93180
11,93180
12,93180
13,93180
14,93180
15,93180
16,93180
17,93180
18,93180
19,93180
20,93180
21,93180
22,93180
23,93180
24,93180
25,93180
26,93180
27,93180
28,93180
29,93180
30,93180
