round,comm_costs
1,62120
2,62120
3,62120
4,62120
5,62120
6,62120
7,62120
8,62120
9,62120
10,62120
11,62120
12,62120
13,62120
14,62120
15,62120
16,62120
17,62120
18,62120
19,62120
20,62120
21,62120
22,62120
23,62120
24,62120
25,62120
26,62120
27,62120
28,62120
29,62120
30,93180
