round,loss,accuracy,f1
1,1.0318844318389893,0.6640649637338379,0.28989575132149836
2,0.7791035175323486,0.8606669820245979,0.30837220913314334
3,0.9984785318374634,0.7910241248817408,0.3044715422480726
4,0.9298398494720459,0.8303886786502681,0.3046993765577822
5,1.235169768333435,0.00010643330179754021,8.2427017619561e-05
6,0.7632536292076111,0.8606669820245979,0.30837220913314334
7,0.9338223934173584,0.8518606117943867,0.30705661846015014
8,1.123884677886963,0.027684484389782403,0.02069567026932828
9,0.9695821404457092,0.8330455692210659,0.303995489976142
10,1.1076346635818481,0.0559878587196468,0.04036659773782856
11,0.7278991937637329,0.8606669820245979,0.30837220913314334
12,1.174670696258545,0.1081086408073163,0.10500332716161971
13,0.9055546522140503,0.859192683695995,0.30814885173377177
14,0.899864673614502,0.85970908230842,0.3082314331059643
15,0.956419825553894,0.8280668558814254,0.3034556679949059
16,0.8854330778121948,0.8603949858088931,0.3083355051412944
17,0.9518678188323975,0.8421830652790918,0.3058974477310326
18,0.9691991209983826,0.773458688111006,0.2958886300981112
19,0.8927135467529297,0.8604462314727216,0.30833492231898996
20,1.1620428562164307,0.040066225165562915,0.02926138322946818
