client_id,embedding_norm,round,grad_norm
2,489.14422607421875,1,0.000543585978448391
3,523.2421875,1,0.0005237367586232722
1,429.3025817871094,1,0.0003275431226938963
0,437.7277526855469,1,0.0004927897825837135
0,439.607177734375,2,0.00044507227721624076
3,523.6175537109375,2,0.00043758723768405616
1,431.04010009765625,2,0.0002851951285265386
2,488.8180847167969,2,0.00040690135210752487
2,489.5256652832031,3,0.0005308063700795174
3,523.4342651367188,3,0.0005197201971895993
1,433.0050354003906,3,0.00032761553302407265
0,442.588134765625,3,0.00048786893603391945
0,445.3758850097656,4,0.0005080701666884124
1,435.3717041015625,4,0.0004992692265659571
3,523.4195556640625,4,0.00031639766530133784
2,489.7488708496094,4,0.0004608584276866168
3,523.504638671875,5,0.000618144404143095
0,448.65069580078125,5,0.000595494348090142
2,490.5834045410156,5,0.0003598637704271823
1,435.33697509765625,5,0.0005425071576610208
1,435.77093505859375,6,0.0004403594066388905
3,523.6343994140625,6,0.00043978195753879845
0,449.76416015625,6,0.000287056464003399
2,490.96380615234375,6,0.0004113950708415359
0,451.2958984375,7,0.0005116590764373541
2,491.6509704589844,7,0.0005045939469709992
1,436.70086669921875,7,0.00031803734600543976
3,523.4063720703125,7,0.0004714027454610914
3,523.2495727539062,8,0.0005814898177050054
2,492.3258361816406,8,0.0005665402859449387
0,453.0952453613281,8,0.00034707473241724074
1,438.11029052734375,8,0.000528430100530386
2,492.3815612792969,9,0.000525647948961705
3,523.5538940429688,9,0.0005189983639866114
0,455.44989013671875,9,0.0003270886663813144
1,439.3017578125,9,0.0004915380268357694
3,523.3894653320312,10,0.0005773662123829126
2,492.8372802734375,10,0.0005636205314658582
0,457.4457702636719,10,0.00034689775202423334
1,440.6679382324219,10,0.000528814154677093
0,459.4568176269531,11,0.0004246000899001956
3,523.5932006835938,11,0.00042781425872817636
1,441.72601318359375,11,0.00028390742954798043
2,492.6609802246094,11,0.0004047174588777125
2,492.9412841796875,12,0.0005897999508306384
1,442.9675598144531,12,0.0005832237657159567
3,523.4811401367188,12,0.0003645723045337945
0,461.9059753417969,12,0.0005583912716247141
0,464.0599670410156,13,0.0005030746688134968
2,493.21649169921875,13,0.0004992624744772911
1,443.4137878417969,13,0.000319053593557328
3,523.445556640625,13,0.00047413675929419696
0,466.9867858886719,14,0.0005013411282561719
2,493.4327697753906,14,0.0004974470939487219
1,444.20013427734375,14,0.00031904992647469044
3,523.4697265625,14,0.00047387287486344576
0,469.7966613769531,15,0.0005248524830676615
2,493.3353271484375,15,0.0005179417785257101
3,523.4533081054688,15,0.0003300561220385134
1,445.24884033203125,15,0.0004948647692799568
0,473.50958251953125,16,0.0004979668883606791
2,493.3563537597656,16,0.0004924155655317008
1,446.2779846191406,16,0.00031846872298046947
3,523.4594116210938,16,0.00047183738206513226
1,447.5890197753906,17,0.0005261860205791891
2,493.3500671386719,17,0.0005175780388526618
3,523.6788330078125,17,0.0003324622521176934
0,476.9167785644531,17,0.0005004483973607421
0,480.2260437011719,18,0.0005342832882888615
1,449.09698486328125,18,0.0005220792954787612
2,493.4388427734375,18,0.0003357375389896333
3,523.478515625,18,0.0005032322951592505
2,493.2969665527344,19,0.0005061327829025686
3,523.5119018554688,19,0.0004968733992427588
1,450.24951171875,19,0.0003253552131354809
0,483.8515625,19,0.00048541469732299447
2,493.3453674316406,20,0.0006074520642869174
0,485.4214172363281,20,0.0005819202633574605
3,523.510498046875,20,0.0003661207447294146
1,451.6012268066406,20,0.0005631787935271859
