round,loss,accuracy,f1
1,1.3406623601913452,0.07187007253232419,0.08789259273356925
2,1.3144447803497314,0.06850756859035005,0.08741248382241702
3,1.2213361263275146,0.035343740145064646,0.06115884784428813
4,1.2311359643936157,0.017214601072216965,0.0437483093100858
5,1.3488208055496216,0.10338615578681803,0.08678459859055619
6,1.1761540174484253,0.06846814884894355,0.08221585978284951
7,1.2739007472991943,0.02367549668874172,0.029663322848611978
8,1.332816481590271,0.1393093661305582,0.08154853183703387
9,1.2317532300949097,0.1412961210974456,0.08370367541689212
10,1.1818181276321411,0.02545332702617471,0.04503327828192577
11,1.150150179862976,0.18004572690003154,0.12069280486587437
12,1.154320240020752,0.028847366761274047,0.02256765353710864
13,1.181396484375,0.051553137811415954,0.05177442769578371
14,1.2381712198257446,0.1397232734153264,0.08190452009077306
15,1.133407711982727,0.10000394197414066,0.08740654115398777
16,1.2952144145965576,0.109720908230842,0.07367111131100197
17,1.2127701044082642,0.0930029959003469,0.09032949044462006
18,1.1965491771697998,0.10196310312204351,0.10505384349356228
19,1.1493306159973145,0.15966177861873226,0.10043178839466739
20,1.001172423362732,0.6992391989908546,0.30552628720037944
