embedding_norm,grad_norm,client_id,round
356.6615295410156,0.0005065114237368107,0,1
450.701904296875,0.00030004404834471643,2,1
488.1109313964844,0.0003403316077310592,1,1
578.4515380859375,0.00038995957584120333,3,1
449.1514892578125,0.0005051741027273238,2,2
490.858642578125,0.00030508788768202066,1,2
356.3376770019531,0.00035773194395005703,0,2
578.6406860351562,0.0003814702504314482,3,2
356.3287353515625,0.0005212201504036784,0,3
491.4879455566406,0.0003153073776047677,1,3
578.4510498046875,0.0003759941319003701,3,3
447.64447021484375,0.00039199215825647116,2,3
356.4858093261719,0.0004882966750301421,0,4
445.9163818359375,0.0002947865577880293,2,4
492.6209411621094,0.00033539917785674334,1,4
578.8306884765625,0.0003825972380582243,3,4
578.718505859375,0.0004776706628035754,3,5
493.3701171875,0.00029476606869138777,1,5
444.6748352050781,0.00034011245588772,2,5
356.7549133300781,0.0003707623982336372,0,5
357.00396728515625,0.0004889449337497354,0,6
495.07421875,0.00030122316093184054,1,6
443.8702392578125,0.0003512906841933727,2,6
578.7533569335938,0.0003796639502979815,3,6
495.8882751464844,0.0004976682830601931,1,7
443.35760498046875,0.00030545995105057955,2,7
357.1907653808594,0.00035661013680510223,0,7
578.6934204101562,0.00038947194116190076,3,7
357.5634765625,0.0005006617866456509,0,8
496.33038330078125,0.0003120671899523586,1,8
578.404052734375,0.00037111243000254035,3,8
442.8218688964844,0.00038740853779017925,2,8
496.4263000488281,0.0004982818500138819,1,9
442.5437927246094,0.0003112463455181569,2,9
578.7035522460938,0.00036860097316093743,3,9
357.9847717285156,0.0003894490946549922,0,9
358.6138000488281,0.0004925630637444556,0,10
496.74993896484375,0.00031134014716371894,1,10
578.6251220703125,0.0003691244055517018,3,10
441.87933349609375,0.00038600206607952714,2,10
578.586181640625,0.0004556537314783782,3,11
440.9050598144531,0.0002910742477979511,2,11
496.75677490234375,0.00032787799136713147,1,11
358.62554931640625,0.00037123134825378656,0,11
440.7099914550781,0.0004665497981477529,2,12
578.9957275390625,0.00030169705860316753,3,12
497.1678771972656,0.00035334721906110644,1,12
359.17047119140625,0.00037122934008948505,0,12
359.6728210449219,0.0004546445852611214,0,13
439.7184753417969,0.0002942668506875634,2,13
498.66748046875,0.00033224039361812174,1,13
578.7745971679688,0.0003738616651389748,3,13
439.2897033691406,0.00046830717474222183,2,14
500.3393249511719,0.0003084583149757236,1,14
578.3350219726562,0.00036309935967437923,3,14
359.8849182128906,0.000374316587112844,0,14
502.12396240234375,0.0004944631364196539,1,15
578.8552856445312,0.0003226807457394898,3,15
360.74969482421875,0.00038595651858486235,0,15
438.4092102050781,0.00039545109029859304,2,15
361.0861511230469,0.00046649156138300896,0,16
578.6322021484375,0.0003102953196503222,3,16
438.16485595703125,0.0003632635052781552,2,16
503.2553405761719,0.0003789312031585723,1,16
504.63739013671875,0.0004863336798734963,1,17
361.8119201660156,0.00032305018976330757,0,17
578.5138549804688,0.0003832365619018674,3,17
437.8735656738281,0.0003945646749343723,2,17
437.3473205566406,0.00046076771104708314,2,18
362.42303466796875,0.00031279571703635156,0,18
578.7940063476562,0.0003661727823782712,3,18
505.6648864746094,0.0003767370362766087,1,18
363.18597412109375,0.00045672175474464893,0,19
578.56396484375,0.00031072308775037527,3,19
506.4031066894531,0.000358500808943063,1,19
436.7058410644531,0.00038024739478714764,2,19
508.3158874511719,0.0004587617004290223,1,20
436.4991455078125,0.0003134553844574839,2,20
363.4794616699219,0.00035936757922172546,0,20
578.7958374023438,0.00038601731648668647,3,20
