round,loss,accuracy,f1
1,0.9687139391899109,0.8291627168655396,0.30361389099323616
2,1.0280272960662842,0.7049274444580078,0.2818869808498875
3,1.2243049144744873,0.0,0.0
4,0.9753661155700684,0.7955179810523987,0.29820330596300965
5,0.969679057598114,0.8586407899856567,0.3080168953712323
6,0.868705153465271,0.827172040939331,0.30339400126808824
7,0.8304653167724609,0.8606669902801514,0.30837220913314334
8,0.809117317199707,0.8606669902801514,0.30837220913314334
9,0.8113576769828796,0.8459949493408203,0.30624251721797113
10,0.9500927329063416,0.7868495583534241,0.2966761267599642
11,0.7577060461044312,0.8606669902801514,0.30837220913314334
12,1.1503881216049194,0.00012220119242556393,0.0004368086700043484
13,1.0729749202728271,0.12032876163721085,0.08086178388932315
14,1.0554789304733276,0.3807789385318756,0.19686872007083553
15,0.6842964887619019,0.8606669902801514,0.30837220913314334
16,1.0175622701644897,0.8236518502235413,0.30333503897661895
17,0.9836298823356628,0.8582860231399536,0.3079699765451794
18,0.8142586350440979,0.8606669902801514,0.30837220913314334
19,0.798094630241394,0.8527041673660278,0.30693938925870595
20,0.6259857416152954,0.8606669902801514,0.30837220913314334
