round,loss,accuracy
1,0.830125093460083,0.8593464493751526
2,0.8907468318939209,0.7760604023933411
3,0.7357836365699768,0.8606669902801514
4,0.7232435345649719,0.8606669902801514
5,0.6563713550567627,0.8606669902801514
6,1.0916529893875122,0.2952262759208679
7,0.7305406332015991,0.8604265451431274
8,1.056412696838379,0.5415799617767334
9,1.0729434490203857,0.6064687967300415
10,1.0022308826446533,0.8524913191795349
11,0.6499407291412354,0.8606669902801514
12,0.6736830472946167,0.8606669902801514
13,0.6687968969345093,0.8606669902801514
14,0.6579919457435608,0.8606669902801514
15,0.5829296708106995,0.8606669902801514
16,0.622913658618927,0.8606669902801514
17,0.6044466495513916,0.8606669902801514
18,0.9036005735397339,0.8606669902801514
19,0.590946614742279,0.8606669902801514
20,0.5941435694694519,0.8606669902801514
