round,grad_norm,client_id,embedding_norm
1,0.00040894144331105053,3,523.4832763671875
1,0.0005396563792601228,1,442.62744140625
1,0.00045860925456508994,0,287.0011901855469
1,0.00028359066345728934,2,363.38323974609375
2,0.00046383898006752133,2,365.0353088378906
2,0.0005849893786944449,1,441.9400329589844
2,0.0005059796385467052,0,287.894287109375
2,0.0003124619252048433,3,523.4652099609375
3,0.00041702992166392505,3,523.5567626953125
3,0.0005320107447914779,2,362.136474609375
3,0.000463267759187147,1,441.4968566894531
3,0.0002843221591319889,0,288.86053466796875
4,0.0004150200402364135,3,523.432861328125
4,0.0005291792913340032,2,359.9098205566406
4,0.0004645519074983895,1,441.3755187988281
4,0.00028176940395496786,0,289.5581359863281
5,0.0004526743432506919,0,289.8670654296875
5,0.0005719712935388088,1,441.5247497558594
5,0.0005068010650575161,2,357.6991271972656
5,0.0003019667638000101,3,523.5054321289062
6,0.0005169505602680147,2,356.09161376953125
6,0.0005987420445308089,1,442.0758972167969
6,0.0005435950006358325,3,523.4845581054688
6,0.00032304474734701216,0,290.7205505371094
7,0.0004042072396259755,3,523.283203125
7,0.0005267661181278527,0,291.2546691894531
7,0.0004669245972763747,1,442.20379638671875
7,0.0002736975147854537,2,353.42852783203125
8,0.0005056320806033909,1,442.6767883300781
8,0.0005726945819333196,2,351.4422912597656
8,0.000524835311807692,3,523.4695434570312
8,0.00031138010672293603,0,290.8368225097656
9,0.00039405105053447187,3,523.3447265625
9,0.0005119029083289206,1,443.5056457519531
9,0.00045595760457217693,0,290.4317321777344
9,0.0002655788557603955,2,349.4762268066406
10,0.00046715475036762655,2,347.96917724609375
10,0.0005777184851467609,0,290.433349609375
10,0.0005206504138186574,1,444.1946105957031
10,0.00030058249831199646,3,523.4847412109375
11,0.0004585383285302669,2,345.9510192871094
11,0.0005661055911332369,1,445.15802001953125
11,0.0005119096604175866,0,290.0595703125
11,0.0002943136205431074,3,523.3583374023438
12,0.0004618111706804484,0,290.00189208984375
12,0.0005496228113770485,1,445.87255859375
12,0.0005025248974561691,3,523.34521484375
12,0.0002892482152674347,2,343.18414306640625
13,0.0004325236950535327,0,290.2348327636719
13,0.0005383654497563839,2,341.1627197265625
13,0.0004890221171081066,1,446.64617919921875
13,0.0002781701914500445,3,523.4940185546875
14,0.000530407065525651,2,339.09759521484375
14,0.000599314458668232,0,290.6009826660156
14,0.0005571295623667538,3,523.2468872070312
14,0.00031873511034063995,1,447.36151123046875
15,0.00047758358414284885,1,448.1106872558594
15,0.0005634527769871056,3,523.4749145507812
15,0.000520195986609906,2,336.70465087890625
15,0.0002942598657682538,0,290.632568359375
16,0.0004766482743434608,1,449.31231689453125
16,0.0005618790164589882,3,523.6827392578125
16,0.0005204120534472167,2,334.4194030761719
16,0.00029318404267542064,0,290.8486328125
17,0.00044208046165294945,1,450.27020263671875
17,0.0005336364847607911,2,331.9026184082031
17,0.0004934011376462877,0,290.8646240234375
17,0.00027627061353996396,3,523.3929443359375
18,0.0004695536626968533,1,451.4658508300781
18,0.0005644421325996518,0,291.171630859375
18,0.0005241453181952238,2,330.09063720703125
18,0.00029040404479019344,3,523.5404052734375
19,0.0004398250603117049,1,452.57513427734375
19,0.00052853167289868,2,327.8546142578125
19,0.0004920157371088862,0,291.44989013671875
19,0.0002726738166529685,3,523.4058227539062
20,0.0004504021198954433,0,291.8263854980469
20,0.0005315844318829477,1,453.7974853515625
20,0.0004978667129762471,3,523.4494018554688
20,0.0002752388536464423,2,325.7085876464844
