round,loss,accuracy,f1
1,1.0827412605285645,0.37160201829076,0.2289413431417844
2,1.114569902420044,0.3319299905392621,0.21965754174812266
3,1.1245630979537964,0.2746807000946074,0.18698124843177225
4,1.1165422201156616,0.2904446546830653,0.192830460200948
5,1.1031817197799683,0.34266398612425103,0.2363505780902745
6,1.0955777168273926,0.3454036581520025,0.2280585106561169
7,1.146999716758728,0.238501261431725,0.1702795105756163
8,1.2437552213668823,0.1337511825922422,0.13004417917336172
9,1.1752914190292358,0.24262456638284452,0.17965750489454047
10,1.105456829071045,0.331784137496058,0.21837639683789997
11,1.0195465087890625,0.5071980447808262,0.2631664384139213
12,1.0952974557876587,0.3486439608956165,0.22609799353490698
13,1.113887906074524,0.320139545884579,0.21224344710527707
14,1.2556617259979248,0.10787212235887733,0.11002457263692467
15,1.214463710784912,0.12580810469883316,0.09653647245345087
16,1.0701144933700562,0.39135525070955535,0.24395936361433046
17,1.106750726699829,0.31453800063071585,0.2010009443676217
18,1.0331578254699707,0.48818196152633236,0.26955458651611486
19,1.1900603771209717,0.15523888363292337,0.11327853914811219
20,1.2444238662719727,0.15042967518133082,0.13538552350560754
