grad_norm,round,embedding_norm,client_id
0.00017274240963160992,1,221.22760009765625,2
0.00013955426402390003,1,5979.84375,3
0.0001500243815826252,1,343.37744140625,0
0.00016442193009424955,1,1146.4034423828125,1
0.0001356152060907334,2,1146.4034423828125,1
0.00016372207028325647,2,343.37744140625,0
0.00013143707474227995,2,5979.84375,3
0.00012067730858689174,2,221.22760009765625,2
0.00017994162044487894,3,5979.84375,3
0.00020662980386987329,3,221.22760009765625,2
0.00020519355894066393,3,343.37744140625,0
0.00014038124936632812,3,1146.4034423828125,1
0.0001290191285079345,4,1146.4034423828125,1
0.00015579763567075133,4,221.22760009765625,2
0.00013057049363851547,4,5979.84375,3
0.00011656394781311974,4,343.37744140625,0
0.00014089132309891284,5,221.22760009765625,2
0.0001663847069721669,5,343.37744140625,0
0.0001947383861988783,5,1146.4034423828125,1
0.00011789228301495314,5,5979.84375,3
0.00016064642113633454,6,1146.4034423828125,1
0.00014086162263993174,6,5979.84375,3
0.0001498423662269488,6,221.22760009765625,2
0.0001494274620199576,6,343.37744140625,0
0.0001679892448009923,7,221.22760009765625,2
0.0001256089744856581,7,5979.84375,3
0.00013213344209361821,7,1146.4034423828125,1
0.00015284575056284666,7,343.37744140625,0
0.00016613921616226435,8,221.22760009765625,2
0.00012536693247966468,8,5979.84375,3
0.00012898273416794837,8,1146.4034423828125,1
0.0001507904817117378,8,343.37744140625,0
0.0001604559802217409,9,1146.4034423828125,1
0.00013760004367213696,9,5979.84375,3
0.0001379250461468473,9,343.37744140625,0
0.0001442826323909685,9,221.22760009765625,2
0.0001512222661403939,10,343.37744140625,0
0.00018616578017827123,10,1146.4034423828125,1
0.00020204692555125803,10,221.22760009765625,2
0.00012997879821341485,10,5979.84375,3
0.00016171668539755046,11,343.37744140625,0
0.00014129075862001628,11,5979.84375,3
0.00012196310126455501,11,1146.4034423828125,1
0.00016160278755705804,11,221.22760009765625,2
0.0001787504443200305,12,5979.84375,3
0.0002111714129569009,12,1146.4034423828125,1
0.00021315313642844558,12,343.37744140625,0
0.00013950477296020836,12,221.22760009765625,2
0.00017205026233568788,13,5979.84375,3
0.00020261533791199327,13,343.37744140625,0
0.00020040305389557034,13,221.22760009765625,2
0.00013456317537929863,13,1146.4034423828125,1
0.0001622777053853497,14,5979.84375,3
0.00020061558461748064,14,221.22760009765625,2
0.00019801367307081819,14,1146.4034423828125,1
0.00013592121831607074,14,343.37744140625,0
0.00015453030937351286,15,221.22760009765625,2
0.00013759039575234056,15,5979.84375,3
0.00012503087054938078,15,343.37744140625,0
0.00013078455231152475,15,1146.4034423828125,1
0.00015762144175823778,16,5979.84375,3
0.0001969425065908581,16,343.37744140625,0
0.00019306466856505722,16,1146.4034423828125,1
0.00013572296302299947,16,221.22760009765625,2
0.00016724449233151972,17,5979.84375,3
0.00019412858819123358,17,343.37744140625,0
0.0001914306776598096,17,221.22760009765625,2
0.000128214291180484,17,1146.4034423828125,1
0.0001335569249931723,18,343.37744140625,0
0.0001779391459422186,18,221.22760009765625,2
0.00018593203276395798,18,1146.4034423828125,1
0.00011892615293618292,18,5979.84375,3
0.00013704097364097834,19,221.22760009765625,2
0.00017947405285667628,19,1146.4034423828125,1
0.00018657106556929648,19,343.37744140625,0
0.00011854298645630479,19,5979.84375,3
0.00014910531172063202,20,343.37744140625,0
0.00014466205902863294,20,5979.84375,3
0.00011529529729159549,20,1146.4034423828125,1
0.00013769438373856246,20,221.22760009765625,2
